type,support
10,0.510638298
11,0.489361702
21,0.164893617
22,0.199468085
41,0.210106383
52,0.167553191
82,0.151595745
84,0.204787234
7101,0.162234043
7103,0.186170213
7106,0.154255319
7112,0.167553191
7113,0.183510638
7114,0.170212766
7115,0.178191489
7120,0.175531915
7121,0.279255319
7122,0.167553191
7130,0.244680851
7131,0.271276596
7132,0.180851064
7140,0.151595745
7141,0.25
7142,0.20212766
7143,0.154255319
7150,0.247340426
7151,0.311170213
7161,0.159574468
7162,0.199468085
7163,0.170212766
7170,0.369680851
7171,0.265957447
7180,0.343085106
7181,0.234042553
7190,0.239361702
7191,0.252659574
7192,0.175531915
7200,0.183510638
7201,0.236702128
7210,0.231382979
7211,0.239361702
7212,0.188829787
7221,0.188829787
7222,0.199468085
7223,0.175531915
7230,0.218085106
7231,0.281914894
7232,0.186170213
7240,0.228723404
7241,0.292553191
7242,0.194148936
7250,0.191489362
7251,0.252659574
7252,0.167553191
7260,0.212765957
7261,0.265957447
7262,0.164893617
7270,0.321808511
7271,0.27393617
7280,0.210106383
7281,0.255319149
7282,0.188829787
7290,0.276595745
7291,0.247340426
7330,0.151595745
10-7131,0.151595745
10-7151,0.159574468
10-7170,0.207446809
10-7180,0.188829787
10-7270,0.167553191
11-21,0.164893617
11-41,0.210106383
11-22,0.199468085
11-52,0.167553191
11-7151,0.151595745
11-7170,0.162234043
11-7180,0.154255319
11-7270,0.154255319
11-7330,0.151595745
11-82,0.151595745
11-84,0.204787234
7210-7150,0.159574468
7210-7170,0.191489362
7210-7180,0.186170213
7210-7270,0.194148936
7210-7240,0.17287234
7210-7260,0.159574468
7210-7290,0.167553191
7120-7170,0.154255319
7121-7151,0.159574468
7121-7231,0.151595745
7130-7150,0.17287234
7130-7170,0.215425532
7130-7180,0.188829787
7130-7270,0.180851064
7130-7240,0.159574468
7130-7230,0.156914894
7130-7290,0.164893617
7131-7151,0.167553191
7151-7171,0.170212766
7151-7191,0.175531915
7151-7181,0.159574468
7151-7211,0.154255319
7151-7241,0.188829787
7151-7261,0.164893617
7151-7291,0.151595745
7150-7170,0.210106383
7150-7190,0.167553191
7150-7180,0.212765957
7150-7270,0.188829787
7150-7240,0.164893617
7150-7230,0.156914894
7150-7290,0.180851064
7171-7181,0.170212766
7171-7241,0.154255319
7171-7271,0.154255319
7170-7190,0.215425532
7170-7180,0.289893617
7170-7270,0.25
7170-7240,0.186170213
7170-7260,0.159574468
7170-7230,0.191489362
7170-7280,0.159574468
7170-7290,0.218085106
7190-7180,0.215425532
7190-7270,0.186170213
7190-7290,0.178191489
7180-7270,0.242021277
7180-7240,0.175531915
7180-7260,0.154255319
7180-7230,0.17287234
7180-7280,0.162234043
7180-7290,0.210106383
7270-7240,0.199468085
7270-7250,0.151595745
7270-7260,0.178191489
7270-7230,0.183510638
7270-7280,0.188829787
7270-7290,0.234042553
7211-7241,0.164893617
7211-7261,0.159574468
7211-7271,0.156914894
7281-7241,0.154255319
7281-7261,0.151595745
7281-7271,0.151595745
7240-7260,0.162234043
7240-7230,0.156914894
7240-7290,0.180851064
7241-7231,0.175531915
7241-7251,0.156914894
7241-7261,0.180851064
7241-7271,0.175531915
7241-7291,0.17287234
7231-7251,0.154255319
7231-7261,0.156914894
7231-7291,0.154255319
7250-7290,0.151595745
7251-7261,0.151595745
7260-7290,0.17287234
7261-7271,0.154255319
7261-7291,0.151595745
7230-7290,0.17287234
7271-7291,0.156914894
7280-7290,0.178191489
10-7170-7180,0.156914894
7210-7170-7180,0.167553191
7210-7170-7270,0.162234043
7210-7180-7270,0.167553191
7210-7270-7240,0.159574468
7210-7270-7290,0.156914894
7130-7150-7170,0.156914894
7130-7150-7180,0.154255319
7130-7170-7180,0.175531915
7130-7170-7270,0.170212766
7130-7170-7230,0.151595745
7130-7170-7290,0.151595745
7130-7180-7270,0.159574468
7150-7170-7190,0.154255319
7150-7170-7180,0.194148936
7150-7170-7270,0.17287234
7150-7170-7240,0.154255319
7150-7170-7290,0.162234043
7150-7190-7180,0.162234043
7150-7180-7270,0.175531915
7150-7180-7240,0.151595745
7150-7180-7290,0.162234043
7150-7270-7240,0.151595745
7150-7270-7290,0.164893617
7170-7190-7180,0.194148936
7170-7190-7270,0.170212766
7170-7190-7290,0.167553191
7170-7180-7270,0.220744681
7170-7180-7240,0.162234043
7170-7180-7230,0.167553191
7170-7180-7290,0.199468085
7170-7270-7240,0.164893617
7170-7270-7230,0.162234043
7170-7270-7290,0.194148936
7170-7230-7290,0.151595745
7190-7180-7270,0.180851064
7190-7180-7290,0.170212766
7190-7270-7290,0.167553191
7180-7270-7240,0.164893617
7180-7270-7230,0.154255319
7180-7270-7290,0.194148936
7270-7240-7260,0.154255319
7270-7240-7290,0.170212766
7270-7260-7290,0.154255319
7270-7230-7290,0.159574468
7270-7280-7290,0.164893617
7210-7170-7180-7270,0.154255319
7130-7170-7180-7270,0.151595745
7150-7170-7190-7180,0.151595745
7150-7170-7180-7270,0.164893617
7150-7170-7180-7290,0.154255319
7150-7170-7270-7290,0.151595745
7150-7180-7270-7290,0.156914894
7170-7190-7180-7270,0.164893617
7170-7190-7180-7290,0.162234043
7170-7190-7270-7290,0.159574468
7170-7180-7270-7240,0.151595745
7170-7180-7270-7290,0.183510638
7190-7180-7270-7290,0.164893617
7170-7190-7180-7270-7290,0.156914894
